title,rate,rate_nums,onyear,area
浮士德,8.6,2009,1926,德国
卢浮魅影,6.9,56,1927,法国
拳击场,6.8,158,1927,英国
下坡路,6.3,202,1927,英国
天涯歌女,8,40,1927,中国大陆
地下世界,7.9,218,1927,美国
三面镜,7.9,125,1927,法国
小兄弟,7.9,86,1927,美国
翼,7.7,1140,1927,美国
床与沙发,7.7,67,1927,苏联
万王之王,7.6,126,1927,美国
圣彼得堡的末日,7.6,59,1927,苏联
爱情,7.6,48,1927,美国
爵士歌手,7.5,505,1927,美国
大学,7.5,334,1927,美国
学生王子,7.5,82,1927,美国
午夜伦敦,7.3,94,1927,美国
大都会,8.9,12761,1927,德国
日出,8.8,4642,1927,美国
拿破仑,8.4,455,1927,法国
未知者,8.4,434,1927,美国
梁赞的女人们,8.3,53,1927,苏联
第七天堂,8.2,168,1927,美国
攀上枝头,7.4,309,1927,美国
西厢记,7.1,273,1927,中国大陆
我最好的女孩,8.5,38,1927,美国
猫和金丝雀,7,48,1927,美国
查尔斯顿,6.8,83,1927,法国
房客,7.6,1480,1927,英国
柏林：城市交响曲,8.3,717,1927,德国
农家妇,6.6,111,1928,英国
大侠甘凤池,6.5,25,1928,中国大陆
神秘女人,8,99,1928,美国
暴风雨,7.9,128,1928,美国
神圣的女人,7.9,45,1928,美国
十字路,7.9,50,1928,日本
风,7.8,276,1928,美国
特鲁布纳亚路的房子,7.8,46,1928,苏联
纽约船坞,7.7,262,1928,美国
孤独,7.7,200,1928,美国
袭击,7.7,34,1928,德国
忍尼戈拉,7.6,32,1928,苏联
火烧红莲寺,7.4,88,1928,中国大陆
浪人街 第一話 美しき獲物,7.3,33,1928,日本
笑，小丑，笑,8.9,134,1928,美国
圣女贞德蒙难记,8.7,3695,1928,法国
群众,8.6,920,1928,美国
摄影师,8.6,638,1928,美国
笑面人,8.5,256,1928,美国
最后命令,8.5,237,1928,美国
船长二世,8.3,673,1928,美国
间谍,8.3,353,1928,德国
亚洲风暴,8.3,108,1928,苏联
小霸王,8.3,44,1928,美国
地铁,8.2,426,1928,英国
十月,8.1,575,1928,苏联
马路天使,8.1,480,1928,美国
马戏团,9.1,4983,1928,美国
懒兵,6.8,33,1928,法国
香槟,6.4,115,1928,英国
水性杨花,7.5,353,1928,英国
戏子人生,8.3,46,1928,美国
意大利草帽,5.9,42,1928,法国 / 德国
飞毛腿,7.4,109,1928,美国
飞奔的高乔人,8.6,43,1928,美国
汽船威利,8.5,1212,1928,美国
米老鼠：疯狂的飞机,8.4,118,1928,美国
地球控制室,8.1,49,1928,美国
厄舍古厦的倒塌,8,364,1928,法国
厄舍古厦的倒塌（美）,7.4,137,1928,美国
朱诺和孔雀,5.7,120,1929,英国
雪中孤雏,5.4,80,1929,中国大陆
孟克斯人,7,153,1929,英国
东京进行曲,6.7,71,1929,日本
情海重吻,6.3,82,1929,中国大陆
爱情准则,7.9,38,1929,美国
月里嫦娥,7.8,244,1929,德国
欢呼,7.8,190,1929,美国
母亲克劳泽升天记,7.8,32,1929,德国
迷失少女日记,7.7,608,1929,德国
新巴比伦,7.7,28,1929,苏联
兵工厂,7.6,104,1929,苏联 / 乌克兰
帕鲁峰的白色地狱,7.6,29,1929,德国
我毕业了，但……,7.5,193,1929,日本
吻,7.5,36,1929,美国
野兰花,7.5,31,1929,美国
哈利路亚,7.5,34,1929,美国
唐人街繁华梦,7.4,231,1929,英国
困扰婚姻,7.3,50,1929,美国
女王凯莱,7.3,48,1929,美国
永恒的爱,7.3,32,1929,美国
年轻的日子,7.2,237,1929,日本
总路线,8.3,89,1929,苏联
达特穆尔的小屋,8.3,40,1929,瑞典 / 英国
潘多拉的魔盒,8.2,1153,1929,德国
幸运星,8.2,54,1929,美国
柏油路,8.1,138,1929,德国
怕老婆,6.4,47,1929,中国大陆
百老汇旋律,6.1,733,1929,美国
嘉年华小子,7.8,33,1929,美国
秋雾,7.6,48,1929,法国
璇宫艳史,7.4,210,1929,美国
诱惑,7.2,94,1929,Czechoslovakia
谷仓舞,8.5,28,1929,美国
不怕死,5.5,36,1929,美国
突贯小僧,6.9,161,1929,日本
日式欢喜冤家,6.5,102,1929,日本
骷髅舞,7.9,750,1929,美国
鬼屋,7.9,36,1929,美国
米奇干的傻事,8.3,32,1929,美国
红侠,7.1,289,1929,中国大陆
讹诈,7.6,644,1929,英国
弃妇怨,5.9,58,1930,美国
安娜克莉丝蒂,6.9,161,1930,美国
那夜的妻子,6.9,117,1930,日本
开心地走吧,6.6,112,1930,日本
我落第了，但……,6.5,113,1930,日本
海上的玛利亚,8,82,1930,葡萄牙
蓝天使,7.9,1279,1930,德国
都市女郎,7.9,330,1930,美国
西线战场1918,7.9,48,1930,德国
大地,7.8,298,1930,苏联
地狱天使,7.8,109,1930,美国
摩洛哥,7.6,452,1930,美国
罗曼史,7.6,37,1930,美国
巴黎屋檐下,7.5,490,1930,法国
星期天的人们,7.5,272,1930,德国
西线无战事,8.5,7054,1930,美国
野草闲花,8.4,44,1930,中国大陆
赌城艳史,7,168,1930,美国
情感罗曼诗,7.6,179,1930,法国
大追踪,7.5,85,1930,美国
高尔夫专家,5.2,48,1930,美国
疯狂的动物,6.5,394,1930,美国
逃之夭夭,6.2,40,1930,美国
黄金时代,7.6,1364,1930,法国
狐狸的故事,8.5,76,1930,法国
锁在一起的囚犯,8.3,36,1930,美国
消防员,8.1,35,1930,美国
谋杀,7.2,367,1930,英国
村祭,6.4,41,1930,日本
空谷猿声,6.6,66,1930,中国大陆
小凯撒,7,341,1931,美国
银汉双星,7,168,1931,中国大陆
夫人与老婆,6.9,58,1931,日本
夜班护士,6.8,33,1931,美国
枭巢喋血战,6.7,35,1931,美国
吸血鬼,6.7,32,1931,美国
自由魂,6.6,43,1931,美国
柏林亚历山大广场,6.5,61,1931,德国
奇怪的富翁,6.4,303,1931,英国
羞辱,7.9,91,1931,美国
御佻次郎吉格子,7.9,52,1931,日本
舐犊情深,7.9,30,1931,美国
东京合唱,7.8,1821,1931,日本
母狗,7.8,337,1931,法国
界限,7.6,90,1931,巴西
我们等待自由,7.6,259,1931,法国
藏娇记,7.6,45,1931,美国
科学怪人,7.5,2271,1931,美国
桃花泣血记,7.5,1434,1931,中国大陆
安娜·克莉丝蒂,7.5,86,1931,美国
国民公敌,7.4,388,1931,美国
魔女玛塔,7.3,374,1931,美国
一剪梅,7.3,144,1931,中国大陆
魂断蓝桥,8.6,3766,1931,美国
M就是凶手,8.3,16148,1931,德国
恋爱与义务,8.2,447,1931,中国大陆
小人物，加油吧！,8.2,217,1931,日本
化身博士,8.1,1081,1931,美国
穿制服的女孩,8.1,697,1931,德国
禁忌,8.1,646,1931,美国
三便士歌剧,8.1,249,1931,德国
城市之光,9.2,40399,1931,美国
银幕艳史（后集）,7.9,114,1931,中国大陆
驸马艳史,7.2,204,1931,美国
马里乌斯,7.2,64,1931,法国
淑女与髯,7.1,123,1931,日本
Autumn Fire,7.1,49,1931,美国
恶作剧,6.8,230,1931,美国
百万法郎,7.6,434,1931,法国
三分钱歌剧,7.4,41,1931,德国 / 美国
米奇的孤儿们,8.3,39,1931,美国
面子游戏,6.1,229,1931,英国
吸血鬼,7.5,894,1931,美国
埃及舞曲,6.8,30,1931,美国
丑小鸭,7.8,47,1931,美国
中国瓷盘,7.1,28,1931,美国
寒涛俪影,5.6,37,1932,美国
上海快车,7,755,1932,美国
十字路口的夜晚,7,60,1932,法国
粉红色的梦,6.9,32,1932,中国大陆
罗宫春色,6.8,1011,1932,美国
白魔鬼,6.7,67,1932,美国
古屋失魂,6.7,60,1932,美国
南国之春,6.6,70,1932,中国大陆
他们称之为罪,6.6,29,1932,美国
三对佳偶,6.4,34,1932,美国
告别武器,6.2,1030,1932,美国
三个聪明的女孩,6.2,37,1932,美国
畸形人,7.9,5462,1932,美国
木十字架,7.9,91,1932,法国
蝴蝶夫人,7.8,108,1932,美国
大饭店,7.7,2010,1932,美国
美国疯狂,7.7,69,1932,美国
红尘,7.7,62,1932,美国
布杜落水遇救记,7.6,403,1932,法国
金发维纳斯,7.5,123,1932,美国
芬妮,7.5,41,1932,法国
如果我有一百万,7.5,42,1932,美国
不是血亲,7.4,103,1932,日本
青春之梦今何在,7.3,167,1932,日本
蓝光,7.3,65,1932,德国
世界在谁手中？,7.3,37,1932,德国
我杀的那位,7.3,33,1932,美国
木乃伊,7.2,570,1932,美国
我出生了，但……,8.9,2613,1932,日本
亡命者,8.4,372,1932,美国
天堂里的烦恼,8.2,1713,1932,美国
疤面人,8.2,1225,1932,美国
诗人之血,8.1,2060,1932,法国
亡魂岛,6.8,1105,1932,美国
红发美人,6.8,32,1932,美国
花与树,7.8,3048,1932,美国
啼笑姻缘,7.6,405,1932,中国大陆
公主艳史,7.6,126,1932,美国
红楼艳史,7.5,217,1932,美国
野玫瑰,7.5,191,1932,中国大陆
趾高气扬,7.3,49,1932,美国
奋斗,7.2,97,1932,中国大陆
音乐盒,6.7,61,1932,美国
牙医,6.3,42,1932,美国
